date,temperature_2m_max (F),precipitation_sum (inch),snowfall_sum (inch),relative_humidity_2m_mean (%),dew_point_2m_mean (F),surface_pressure_mean (hPa),wind_speed_10m_mean (mp/h),cloud_cover_mean (%)
1/1/2000,46.3,0,0,74,26.6,995.3,8.8,52
1/2/2000,53.9,0.075,0,93,44.4,987.3,14.3,85
1/3/2000,47.3,0.406,0,94,35,990.3,11.6,93
1/4/2000,48.8,0.134,0,74,29,983.4,16.5,95
1/5/2000,29.9,0,0,57,13.8,1003.6,7.7,92
1/6/2000,37.4,0,0,67,21,1001.2,13.4,71
1/7/2000,30.9,0.016,0.11,65,18.4,1002.5,9.7,67
1/8/2000,42,0,0,62,19.9,997.9,14.2,31
1/9/2000,38.2,0.181,0,88,32.3,990.1,7.9,82
1/10/2000,44.7,0.146,0,86,35.8,974.7,16.1,66
1/11/2000,40,0,0,63,25,982.6,16.8,70
1/12/2000,32.5,0,0,61,17.6,999,7.2,79
1/13/2000,27.1,0.236,1.654,67,13.3,1001.8,15.1,95
1/14/2000,23.9,0,0,65,6.1,1016.8,6.9,56
1/15/2000,34,0,0,72,19.3,1003.9,12,61
1/16/2000,35,0,0,63,15.8,1003.3,14.4,55
1/17/2000,14.6,0.008,0.083,54,-1.2,1014.7,8.6,79
1/18/2000,25.9,0.024,0.303,72,13.8,997.3,8.4,93
1/19/2000,26.7,0.079,0.579,77,14.6,992,7.3,72
1/20/2000,22.7,0.11,0.799,79,9.5,988.6,10.3,61
1/21/2000,13.5,0,0,72,-3.5,995.7,7.9,32
1/22/2000,18.7,0.039,0.358,78,0.4,997.9,6.7,70
1/23/2000,29.8,0,0.055,83,18.9,992.1,12.8,93
1/24/2000,17.2,0,0,80,5.5,998,7,43
1/25/2000,20.9,0.016,0.165,77,5.2,991.4,6.5,72
1/26/2000,13.8,0,0,73,1.2,997.6,13.4,51
1/27/2000,13.7,0,0,70,-3.8,1008.6,9.7,9
1/28/2000,23.7,0,0,76,2.9,1013.7,6,0
1/29/2000,21.7,0,0.028,83,8.4,1011.7,6.4,70
1/30/2000,32.4,0.079,0.717,88,23.3,997.6,8.6,97
1/31/2000,28.6,0,0.055,80,16.9,989.1,14.5,86
2/1/2000,28.3,0,0,76,16.8,993.9,12.5,73
2/2/2000,24.5,0,0,73,8.9,1001.1,8.9,51
2/3/2000,33.5,0.087,0.634,86,25.5,985.1,9.7,93
2/4/2000,31.2,0.126,0.909,87,23.3,990.5,9.1,81
2/5/2000,31.2,0,0,78,13.8,998.1,12.7,13
2/6/2000,26.1,0,0,85,14.6,1003.1,9.1,55
2/7/2000,32.1,0,0,79,20.8,1000.5,8.9,47
2/8/2000,23.9,0,0,83,11.4,1006.5,7.4,40
2/9/2000,40.8,0,0,83,28.8,993.5,11.7,76
2/10/2000,34.1,0.071,0,95,29.7,988.5,8,100
2/11/2000,32.9,0,0,71,16.5,994.3,10.2,66
2/12/2000,23.4,0,0,70,7.6,1001.8,6.3,58
2/13/2000,29.3,0.063,0.524,77,18.1,991.5,8,100
2/14/2000,27.4,0.071,0.524,80,19.5,988.3,11.2,74
2/15/2000,34.2,0.051,0,81,20,996.9,10.7,75
2/16/2000,37.6,0,0,69,22.4,996.3,12.2,60
2/17/2000,23.6,0,0,65,8.5,1010.6,7.7,59
2/18/2000,27.7,0.402,2.921,82,20.5,996.3,13.5,100
2/19/2000,31,0.055,0.386,80,19.2,998.8,9.5,67
2/20/2000,32.2,0,0.11,81,22,1002.7,10.4,84
2/21/2000,36.2,0,0,83,21.1,1005.7,9.5,41
2/22/2000,42.7,0,0,79,33,1001.4,12.6,89
2/23/2000,58,0.012,0,76,40.1,1000.5,10.5,93
2/24/2000,49.4,0.528,0,91,43.3,996,10.8,91
2/25/2000,52.9,0,0,94,45,997.6,7.2,97
2/26/2000,61.5,0.012,0,83,46.6,993.9,12.2,94
2/27/2000,51.4,0.252,0,75,39.5,991.6,13.9,88
2/28/2000,48.8,0,0,60,25.2,1001.3,8.1,5
2/29/2000,49,0.008,0,70,28.4,999.5,9.8,76
3/1/2000,52.8,0.079,0,66,33.7,987.2,15.1,80
3/2/2000,38.4,0,0,57,20.3,997.4,10.8,70
3/3/2000,44.6,0,0,67,22.5,996.6,4.3,35
3/4/2000,53,0,0,65,26.9,989.8,7.8,58
3/5/2000,55.5,0,0,72,32,993.1,5.3,8
3/6/2000,48.8,0,0,72,29.7,1000.4,6.5,1
3/7/2000,67.7,0,0,76,43.6,995.3,10.1,25
3/8/2000,70.5,0,0,74,51.7,989.7,12.1,44
3/9/2000,60.9,0.016,0,65,42,983.7,17.2,57
3/10/2000,34.8,0,0,59,17,999.6,7,91
3/11/2000,35.6,0.146,1.047,62,17.1,997.1,12.1,96
3/12/2000,40.7,0.087,0.634,51,15,997.4,10.4,64
3/13/2000,40.7,0.02,0.165,67,24.5,1001.5,9.2,84
3/14/2000,51.5,0.016,0,72,33.1,997.8,10.1,52
3/15/2000,57.8,0.209,0,75,39.8,993.2,10.2,92
3/16/2000,51.4,0.213,0.799,70,24,997.9,14.9,99
3/17/2000,31.9,0,0,51,11,1007.4,14.4,34
3/18/2000,36.1,0,0,58,17.2,1008.3,11.3,27
3/19/2000,42.4,0.287,0,80,32.1,997.7,9.6,98
3/20/2000,44.9,0.551,0,90,40,996.7,12.6,100
3/21/2000,48.6,0,0,87,38.9,1004.2,6.1,76
3/22/2000,55.2,0.004,0,82,40.1,1007.8,3.7,69
3/23/2000,58.5,0,0,80,42.3,1006,4.4,20
3/24/2000,59.1,0.028,0,81,42.6,997.3,9.3,60
3/25/2000,62.1,0.012,0,61,40.3,988.3,14.3,33
3/26/2000,56,0,0,46,28.2,987.6,10.8,34
3/27/2000,52.4,0.24,0,58,32.3,973.5,13.7,59
3/28/2000,51.8,0.106,0,71,34.5,973.4,7.1,69
3/29/2000,50.6,0,0,63,30.1,987.1,14.2,76
3/30/2000,49.8,0,0,59,27.4,995,6.2,32
3/31/2000,55.4,0,0,58,29.2,999.3,5.9,20
4/1/2000,60,0,0,65,37.9,997.2,8.2,77
4/2/2000,54.9,0.055,0,77,43.2,991.2,4.7,98
4/3/2000,58.7,0.098,0,84,47.1,985.5,6.8,99
4/4/2000,49.2,0.035,0,64,29.2,983.5,15.7,74
4/5/2000,51,0.028,0,53,24,988.7,11.9,44
4/6/2000,55.1,0,0,54,33.7,981.3,17.1,25
4/7/2000,52.2,0.425,0,77,35.9,989.1,12.9,91
4/8/2000,40.6,0.272,0.689,69,25.6,988.3,18.7,67
4/9/2000,48.6,0.024,0,56,23.3,993.8,12.4,42
4/10/2000,43.7,0,0,52,20.1,1001.7,7.9,60
4/11/2000,38.9,0.15,0.772,75,28.5,1001.5,11.5,95
4/12/2000,45.3,0.016,0,62,23.9,1008.1,6.9,46
4/13/2000,47.5,0,0,60,28,1006.9,8.8,49
4/14/2000,63.4,0,0,72,42.9,997.6,9.1,18
4/15/2000,70.1,0,0,77,52.6,993.1,8.6,26
4/16/2000,55.7,0.039,0,76,42.3,996.5,10.8,42
4/17/2000,49.2,0.197,0,77,39.2,994.1,13.3,99
4/18/2000,54.1,0,0,78,40.7,995.1,6.4,88
4/19/2000,58.1,0.028,0,83,47,996,4.4,96
4/20/2000,59.2,0.933,0,92,50.8,985.1,11.6,99
4/21/2000,55.6,0.02,0,78,42.9,981.2,10.5,89
4/22/2000,55.3,0,0,74,38.9,988.2,9.7,79
4/23/2000,61.5,0,0,71,39.1,991.1,3.6,61
4/24/2000,60.4,0,0,57,35.8,993.1,11.4,24
4/25/2000,57.6,0,0,49,29.7,995.2,12.3,1
4/26/2000,59.9,0,0,59,33.4,996.4,6.3,9
4/27/2000,56.5,0,0,64,36,993,6.2,53
4/28/2000,60.8,0,0,67,39.5,991.9,5.3,96
4/29/2000,66.8,0,0,62,39.8,995.7,8.3,48
4/30/2000,59.6,0,0,60,37.5,1001.1,7.6,37
5/1/2000,62.1,0.299,0,79,49.6,990.7,10.3,83
5/2/2000,61.7,0,0,74,45.1,998.3,4.8,29
5/3/2000,65.5,0,0,71,47.7,1000.6,7.1,7
5/4/2000,76.8,0,0,77,57.4,997.1,9.4,60
5/5/2000,78.2,0,0,72,60.5,997.6,10.1,26
5/6/2000,81.1,0,0,72,62.3,996.2,10,11
5/7/2000,81.3,0,0,68,62.1,991.9,11.9,25
5/8/2000,81.5,0.039,0,74,64.6,985.9,13.1,77
5/9/2000,78.2,0.622,0,82,65.9,982.1,11.7,97
5/10/2000,67,0.685,0,69,49.4,984.6,13.5,81
5/11/2000,68.6,0.039,0,62,48.9,988.9,10.7,63
5/12/2000,80.9,0.35,0,80,66.6,980.7,13.9,92
5/13/2000,69.8,0.02,0,61,48.5,986.5,16.3,73
5/14/2000,56.6,0,0,44,30.8,997,15.3,79
5/15/2000,63,0,0,46,33,999.1,9.3,30
5/16/2000,58.2,0.354,0,76,45.5,996.9,7.7,87
5/17/2000,71.5,0.055,0,75,54.8,992.3,8,72
5/18/2000,69.4,0.559,0,82,55.1,989.3,15.3,99
5/19/2000,54.4,0.126,0,78,44.1,995.1,15.1,94
5/20/2000,62.3,0,0,67,42.6,996.1,5.9,63
5/21/2000,64.4,0,0,73,48.6,994.1,4.1,93
5/22/2000,67.5,0.047,0,74,51.8,987.7,6.9,77
5/23/2000,71,0.031,0,82,58.9,978.8,10.7,82
5/24/2000,75.6,0.012,0,61,51.1,978.3,9.7,43
5/25/2000,68.2,0,0,50,42.4,985.2,13,21
5/26/2000,70.2,0,0,66,48.9,993.4,4.3,55
5/27/2000,64,0.154,0,80,54.6,992.6,9.5,100
5/28/2000,61.8,0.335,0,79,51.7,988.9,11.5,99
5/29/2000,67.9,0,0,73,50.1,994.8,7.8,78
5/30/2000,69.9,0,0,75,55.6,996.7,10.4,77
5/31/2000,78.9,0.071,0,82,64,995.1,8.8,94
6/1/2000,77.9,0.004,0,83,65.2,996.2,6.5,80
6/2/2000,73.9,0,0,68,58.1,994.2,15.2,79
6/3/2000,61.4,0,0,58,43.4,1002.1,6.7,70
6/4/2000,66.3,0.035,0,68,48.4,998.4,5.5,86
6/5/2000,59.8,0.764,0,80,51.2,995,17,97
6/6/2000,68.5,0.024,0,57,43.2,998.2,12.6,9
6/7/2000,74,0.02,0,62,50.1,999.6,7.5,54
6/8/2000,80.1,0.024,0,66,58.2,993.2,13.4,49
6/9/2000,83.5,0,0,59,59.5,993.6,13.2,30
6/10/2000,85.9,0,0,60,62,994,13.9,4
6/11/2000,79,0.492,0,77,67.6,995,12.3,68
6/12/2000,69.8,0.335,0,91,63.4,997.7,7.8,99
6/13/2000,81.5,0.165,0,84,69.5,992.6,8.4,78
